SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n,mean_salience_relational,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question
Encode-Decode_Experiment-21-1,2409918,encoding,3.71484,0.6875,0.246937,0.118595,16,11,False,0.137076,0.032519,30,1,36,31,0.8611,0.133359,1.0,4784.0,2.0,2.0,What is the elephant on the right (from your perspective) doing with its trunk?,1.0,5761.0,4.0,4.0,Where are the elephants in the scene?,1.0,2.0,,,,
Encode-Decode_Experiment-21-1,2379478,encoding,2.046522,0.428571,0.220857,0.101496,21,9,False,0.342604,0.422604,21,11,34,32,0.9412,0.385437,1.0,3881.0,4.0,4.0,What is the position of the babies?,1.0,2642.0,2.0,2.0,How many babies are visible in the scene?,2.0,2.0,,,,
Encode-Decode_Experiment-21-1,2411268,encoding,0.827011,0.352941,0.246412,0.128813,17,6,False,0.166952,0.105419,17,11,33,28,0.8485,0.146876,1.0,5580.0,4.0,4.0,Where is the fruit branch relative to the child?,1.0,3605.0,2.0,2.0,What is the child holding while picking fruit?,3.0,2.0,,,,
Encode-Decode_Experiment-21-1,2370664,encoding,1.973795,0.318182,0.147955,0.086244,22,7,False,0.154673,0.1552,14,21,35,35,1.0,0.154989,1.0,3718.0,1.0,1.0,Where are the people located in the scene?,1.0,2616.0,4.0,4.0,How many donuts are in the scene?,4.0,2.0,,,,
Encode-Decode_Experiment-21-1,2410309,encoding,-0.800033,0.105263,0.192947,0.109601,19,2,False,0.28569,0.297153,5,28,34,33,0.9706,0.308754,1.0,3081.0,4.0,4.0,How many laptops or electronic devices are visible?,1.0,2711.0,2.0,2.0,What is the baby touching?,5.0,2.0,,,,
Encode-Decode_Experiment-21-1,2367132,encoding,2.85317,0.375,0.112062,0.092156,16,6,False,0.100447,0.097046,15,15,33,30,0.9091,0.097924,1.0,3405.0,2.0,2.0,How many men are playing in the scene?,1.0,4124.0,4.0,4.0,In which hand(s) are the men holding the controllers?,6.0,2.0,,,,
Encode-Decode_Experiment-21-1,2386442,encoding,1.287513,0.5,0.33675,0.126795,20,10,False,0.113523,0.137799,27,12,39,39,1.0,0.120992,0.0,3381.0,2.0,1.0,Who is brushing their teeth in the scene?,1.0,4590.0,3.0,3.0,What is the person on the right wearing?,8.0,1.0,,,,
Encode-Decode_Experiment-21-1,2397102,encoding,1.702532,0.555556,0.337056,0.128338,18,10,False,0.10821,0.175797,23,5,35,28,0.8,0.115273,1.0,3702.0,3.0,3.0,What is the man holding besides the cake knife?,1.0,3336.0,1.0,1.0,What are the couple doing with the cake?,9.0,2.0,,,,
Encode-Decode_Experiment-21-1,150472,encoding,3.303456,0.636364,0.289045,0.105138,22,14,False,0.079896,0.066442,24,6,30,30,1.0,0.077205,1.0,2370.0,4.0,4.0,How many women are in the scene?,1.0,4581.0,2.0,2.0,Where is the pizza slice located?,10.0,2.0,,,,
Encode-Decode_Experiment-21-1,2356991,encoding,3.348202,0.419355,0.162935,0.076584,31,13,False,0.172029,0.216604,21,15,38,36,0.9474,0.185093,1.0,4699.0,2.0,2.0,What is the current action of the gloved player on the base?,1.0,6132.0,1.0,1.0,How is the player on the left (from your perspective) reaching the base?,11.0,2.0,,,,
