SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_trial_index,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_trial_index,dec_rt_ms,dec_trial_index,writing_length
Encode-Decode_Experiment-1-1,2371471,encoding,2.189755,0.6,0.36176,0.108798,1.881612,0.28,0.14,0.074404,25,15,7,False,,,,,,34,34,1.0,0.32853,1.0,7851.0,1.0,1.0,12421.0,18.0,,,
Encode-Decode_Experiment-1-1,2387122,encoding,-0.323269,0.347826,0.386478,0.119567,-2.151738,0.043478,0.279739,0.1098,23,8,1,False,,,,,,33,29,0.8788,0.308556,1.0,7463.0,2.0,1.0,5668.0,19.0,,,
Encode-Decode_Experiment-1-1,2374670,encoding,-0.450497,0.3,0.3596,0.132298,-0.29457,0.25,0.28525,0.119666,20,6,5,False,,,,,,39,36,0.9231,0.212175,0.0,6044.0,3.0,1.0,9310.0,36.0,,,
Encode-Decode_Experiment-1-1,2356991,encoding,2.042876,0.321429,0.152393,0.082744,1.93149,0.25,0.114321,0.070246,28,9,7,False,,,,,,37,33,0.8919,0.161358,1.0,10953.0,4.0,1.0,6687.0,14.0,,,
Encode-Decode_Experiment-1-1,2412687,encoding,2.684105,0.666667,0.296667,0.137849,3.839132,0.666667,0.197933,0.122094,15,10,10,False,,,,,,29,26,0.8966,0.127853,1.0,9147.0,5.0,1.0,5930.0,15.0,,,
Encode-Decode_Experiment-1-1,2360001,encoding,-0.759455,0.041667,0.090167,0.063862,-0.986798,0.0,0.043458,0.04404,24,1,0,False,,,,,,38,37,0.9737,0.279301,1.0,11249.0,6.0,1.0,4944.0,30.0,,,
Encode-Decode_Experiment-1-1,2397102,encoding,2.442422,0.571429,0.29019,0.115147,1.205847,0.285714,0.159476,0.104688,21,12,6,False,,,,,,35,35,1.0,0.145785,1.0,4439.0,7.0,1.0,4350.0,29.0,,,
Encode-Decode_Experiment-1-1,150472,encoding,1.524928,0.4,0.2356,0.107808,,0.0,0.0,0.0,20,8,0,False,,,,,,30,30,1.0,0.08805,1.0,3118.0,8.0,1.0,3643.0,44.0,,,
Encode-Decode_Experiment-1-1,2379478,encoding,3.123572,0.866667,0.396267,0.150597,3.150713,0.733333,0.3308,0.127759,15,13,11,False,,,,,,35,34,0.9714,0.406243,1.0,4689.0,9.0,1.0,2082.0,52.0,,,
Encode-Decode_Experiment-1-1,2369373,encoding,1.282086,0.64,0.48856,0.11812,-0.578715,0.16,0.21812,0.100429,25,16,4,False,,,,,,40,40,1.0,0.232915,1.0,6485.0,10.0,1.0,4938.0,34.0,,,
Encode-Decode_Experiment-1-1,2347025,encoding,0.117342,0.473684,0.457579,0.13725,-1.28591,0.105263,0.248158,0.111123,19,9,2,False,,,,,,39,37,0.9487,0.101181,1.0,4866.0,11.0,1.0,5607.0,21.0,,,
Encode-Decode_Experiment-1-1,2349475,encoding,1.407713,0.333333,0.197125,0.096759,1.576306,0.25,0.130333,0.075916,24,8,6,False,,,,,,37,36,0.973,0.070533,1.0,4998.0,12.0,0.0,14841.0,28.0,,,
Encode-Decode_Experiment-1-1,2394020,encoding,1.766696,0.692308,0.398154,0.166499,0.022806,0.076923,0.075077,0.080949,13,9,1,False,,,,,,33,27,0.8182,0.211957,1.0,11365.0,13.0,1.0,3777.0,58.0,,,
Encode-Decode_Experiment-1-1,2362704,encoding,-0.742402,0.045455,0.099182,0.07237,-0.997488,0.0,0.055591,0.055731,22,1,0,False,,,,,,28,26,0.9286,0.175742,1.0,4644.0,16.0,1.0,3040.0,40.0,,,
Encode-Decode_Experiment-1-1,2385550,encoding,2.182082,0.391304,0.203956,0.085857,0.702347,0.130435,0.086217,0.062957,23,9,3,False,,,,,,34,32,0.9412,0.305476,1.0,6081.0,17.0,1.0,4534.0,41.0,,,
