Weight	Nested	Procedure	StimID	Question	Opt1	Opt2	Opt3	Opt4	CorrectKey
1		DistractorProc	1001	42 + 25 = ?	67	73	61	65	1
1		DistractorProc	1002	10 * 11 = ?	110	103	111	119	1
1		DistractorProc	1003	10 * 9 = ?	90	98	93	97	1
1		DistractorProc	1004	8 * 4 = ?	32	29	33	30	1
1		DistractorProc	1005	11 * 12 = ?	132	130	142	125	1
1		DistractorProc	1006	100 - 87 = ?	13	14	5	18	1
1		DistractorProc	1007	24 + 19 = ?	43	33	49	44	1
1		DistractorProc	1008	39 + 30 = ?	69	60	61	68	1
1		DistractorProc	1009	30 + 17 = ?	47	54	45	55	1
1		DistractorProc	1010	36 + 28 = ?	64	61	65	63	1
1		DistractorProc	1011	71 - 10 = ?	61	58	62	60	1
1		DistractorProc	1012	63 - 35 = ?	28	20	36	37	1
1		DistractorProc	1013	95 - 77 = ?	10	18	19	17	2
1		DistractorProc	1014	48 - 14 = ?	42	34	31	36	2
1		DistractorProc	1015	6 * 8 = ?	41	48	46	54	2
1		DistractorProc	1016	40 + 44 = ?	85	84	82	90	2
1		DistractorProc	1017	58 - 37 = ?	29	21	27	11	2
1		DistractorProc	1018	33 + 47 = ?	81	80	73	72	2
1		DistractorProc	1019	3 * 10 = ?	31	30	35	32	2
1		DistractorProc	1020	4 * 3 = ?	2	12	16	11	2
1		DistractorProc	1021	46 + 1 = ?	56	47	48	52	2
1		DistractorProc	1022	97 - 86 = ?	17	11	9	10	2
1		DistractorProc	1023	22 + 48 = ?	73	70	66	71	2
1		DistractorProc	1024	24 + 31 = ?	64	55	47	54	2
1		DistractorProc	1025	17 + 42 = ?	58	63	59	62	3
1		DistractorProc	1026	71 - 39 = ?	31	41	32	33	3
1		DistractorProc	1027	33 + 12 = ?	39	49	45	50	3
1		DistractorProc	1028	5 * 7 = ?	32	27	35	26	3
1		DistractorProc	1029	91 - 36 = ?	59	49	55	45	3
1		DistractorProc	1030	25 + 35 = ?	63	69	60	61	3
1		DistractorProc	1031	11 * 10 = ?	102	109	110	115	3
1		DistractorProc	1032	23 + 27 = ?	40	42	50	58	3
1		DistractorProc	1033	7 * 3 = ?	13	26	21	17	3
1		DistractorProc	1034	82 - 76 = ?	3	11	6	10	3
1		DistractorProc	1035	49 + 30 = ?	71	89	79	72	3
1		DistractorProc	1036	4 * 10 = ?	38	41	40	34	3
1		DistractorProc	1037	33 - 10 = ?	17	27	15	23	4
1		DistractorProc	1038	10 * 8 = ?	89	72	81	80	4
1		DistractorProc	1039	13 + 3 = ?	11	17	12	16	4
1		DistractorProc	1040	74 - 58 = ?	12	7	18	16	4
1		DistractorProc	1041	7 * 9 = ?	66	58	69	63	4
1		DistractorProc	1042	34 + 34 = ?	78	76	62	68	4
1		DistractorProc	1043	8 * 10 = ?	87	81	88	80	4
1		DistractorProc	1044	12 * 9 = ?	112	111	103	108	4
1		DistractorProc	1045	27 + 38 = ?	58	71	55	65	4
1		DistractorProc	1046	8 * 9 = ?	76	71	62	72	4
1		DistractorProc	1047	100 - 50 = ?	57	52	54	50	4
1		DistractorProc	1048	75 - 34 = ?	39	32	40	41	4
1		DistractorProc	1049	100 - 36 = ?	64	60	54	56	1
1		DistractorProc	1050	23 + 28 = ?	63	51	47	57	2
1		DistractorProc	1051	73 - 29 = ?	54	41	44	48	3
1		DistractorProc	1052	31 + 28 = ?	47	58	49	59	4
1		DistractorProc	1053	60 + 11 = ?	86	69	71	79	3
1		DistractorProc	1054	100 - 30 = ?	70	66	68	58	1
1		DistractorProc	1055	40 - 24 = ?	20	12	16	14	3
1		DistractorProc	1056	100 - 94 = ?	5	10	4	6	4
1		DistractorProc	1057	27 - 8 = ?	9	19	26	29	2
1		DistractorProc	1058	84 + 92 = ?	184	166	172	176	4
1		DistractorProc	1059	38 - 25 = ?	15	18	13	10	3
1		DistractorProc	1060	12 * 10 = ?	122	120	114	118	2
1		DistractorProc	1061	83 + 59 = ?	147	152	142	134	3
1		DistractorProc	1062	59 + 30 = ?	91	99	89	84	3
1		DistractorProc	1063	52 + 33 = ?	95	85	87	81	2
1		DistractorProc	1064	67 + 72 = ?	142	139	129	124	2
1		DistractorProc	1065	35 + 45 = ?	82	83	80	70	3
